waypoint1	waypoint2	distance_m	duration_s
Quandary Peak, Colorado	LittleBear Peak, Colorado	268083	12505
Quandary Peak, Colorado	Mt.Sherman, Colorado	91626	6069
Quandary Peak, Colorado	Redcloud Peak, Colorado	329005	16454
Quandary Peak, Colorado	Pyramid Peak, Colorado	203609	11526
Quandary Peak, Colorado	NorthMaroon Peak, Colorado	203642	11519
Quandary Peak, Colorado	Wilson Peak, Colorado	416680	18697
Quandary Peak, Colorado	Wetterhorn Peak, Colorado	318523	16844
Quandary Peak, Colorado	Huron Peak, Colorado	129783	7375
Quandary Peak, Colorado	Sunshine Peak, Colorado	326056	15795
Mt.Evans, Colorado	Mt.Wilson, Colorado	570656	24172
Mt.Evans, Colorado	Mt.Cameron, Colorado	148661	8983
Mt.Evans, Colorado	Mt.Shavano, Colorado	265767	13125
Mt.Evans, Colorado	Mt.Princeton, Colorado	229980	12768
Mt.Evans, Colorado	Mt.Belford, Colorado	196018	10220
Mt.Evans, Colorado	Mt.Yale, Colorado	226402	11074
Mt.Evans, Colorado	Crestone, Colorado	331305	14856
Mt.Evans, Colorado	Mt.Bross, Colorado	148403	8956
Mt.Evans, Colorado	KitCarson, Colorado	338032	13442
Mt.Evans, Colorado	Tabeguache Peak, Colorado	267295	13505
Mt.Evans, Colorado	Mt.Oxford, Colorado	193741	9982
Mt.Evans, Colorado	ElDiente Peak, Colorado	570663	24173
Mt.Evans, Colorado	Mt.Democrat, Colorado	154963	9068
Mt.Evans, Colorado	Mt.Sneffels, Colorado	542772	23770
Mt.Evans, Colorado	Pikes Peak, Colorado	248528	12378
Mt.Evans, Colorado	SnowmassMtn., Colorado	321980	15714
Mt.Evans, Colorado	Challenger Point, Colorado	334931	15484
Mt.Evans, Colorado	Mt.Columbia, Colorado	216494	11201
Mt.Evans, Colorado	Humboldt Peak, Colorado	352434	16943
Mt.Evans, Colorado	Mt.Bierstadt, Colorado	81709	5955
Mt.Evans, Colorado	Conundrum Peak, Colorado	271713	14954
Mt.Evans, Colorado	Handies Peak, Colorado	554980	26894
Mt.Evans, Colorado	Culebra Peak, Colorado	482932	19988
Mt.Evans, Colorado	Mt.Lindsey, Colorado	429853	17237
Mt.Evans, Colorado	LittleBear Peak, Colorado	398457	18950
Mt.Evans, Colorado	Mt.Sherman, Colorado	166542	9312
Mt.Evans, Colorado	Redcloud Peak, Colorado	459379	22899
Mt.Evans, Colorado	Pyramid Peak, Colorado	264564	15139
Mt.Evans, Colorado	NorthMaroon Peak, Colorado	264597	15132
Mt.Evans, Colorado	Wilson Peak, Colorado	570646	24170
Mt.Evans, Colorado	Wetterhorn Peak, Colorado	448897	23289
Mt.Evans, Colorado	Huron Peak, Colorado	204581	11526
Mt.Evans, Colorado	Sunshine Peak, Colorado	456430	22239
Mt.Wilson, Colorado	Mt.Cameron, Colorado	414021	18657
Mt.Wilson, Colorado	Mt.Shavano, Colorado	300094	14536
Mt.Wilson, Colorado	Mt.Princeton, Colorado	357409	17690
Mt.Wilson, Colorado	Mt.Belford, Colorado	373915	17226
Mt.Wilson, Colorado	Mt.Yale, Colorado	356339	16204
